product_name,product_author,product_date,product_price,product_reviews,product_labels_language
Chanel: Collections and Creations,by Daniele Bott,2007,$31.73 ,152 customer reviews,English
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,by Deborah Schecter,1-Oct-10,,610 customer reviews,English
Colorful Blessings: Cards to Color and Share,by Christian Art Gifts,8-Feb-16,$3.67 ,"1,255 customer reviews",English
Zen as F*ck: A Journal for Practicing the Mindful Art of Not Giving a Sh*t,by Monica Sweeney,6-Mar-18,$10.19 ,36 customer reviews,English
"The Budget-Savvy Wedding Planner & Organizer: Checklists, Worksheets, and Essential Tools to Plan the Perfect Wedding on a Small Budget",by Jessica Bishop,6-Feb-18,$11.04 ,109 customer reviews,English
The Legend of Zelda Encyclopedia,by Nintendo,19-Jun-18,$22.33 ,94 customer reviews,English
Netter's Anatomy Coloring Book Updated Edition (Netter Basic Science),by John T. Hansen PhD,28-Feb-18,,20 customer reviews,English
Robert's Rules of Order Newly Revised (Robert's Rules of Order (Paperback)),by Henry M. Robert III and Daniel H. Honemann,27-Sep-11,,810 customer reviews,English
"Faber Piano Adventures Level 1 Learning Library Set Includes Lesson, Theory, Performance, Technique & Artistry Books","by Nancy Faber, Randall Faber",1996,$25.93 ,116 customer reviews,
365 Cats Page-A-Day Calendar 2019,by Workman Publishing,7-Aug-18,$12.65 ,9 customer reviews,
Complete Color Coded Flash Cards for All Beginning Music Students,by Alfred Music,1-Jul-96,$5.99 ,632 customer reviews,English
Essential Elements 2000: Book 1 (Flute),by Hal Leonard Corp.,1-Jun-99,$9.35 ,211 customer reviews,English
May I Come In?: Discovering the World in Other People's Houses,by Wendy Goodman,25-Sep-18,$40.41 ,3 customer reviews,English
The Legend of Zelda: Breath of the Wild-Creating a Champion Hero's Edition,by Nintendo,20-Nov-18,$89.99 ,,English
"Faber Piano Adventures Primer Level Learning Library Pack - Lesson, Theory, Performance, and Technique & Artistry Books",,,$30.00 ,77 customer reviews,
"Dungeons and Dragons Art and Arcana [Special Edition, Boxed Book & Ephemera Set]: A Visual History",by Michael Witwer and Kyle Newman,23-Oct-18,$76.27 ,,English
"The Hidden Life of Trees: What They Feel, How They Communicate®πDiscoveries from A Secret World",by Peter Wohlleben and Jane Billinghurst,13-Sep-16,$16.96 ,"1,039 customer reviews",English
The Design of Everyday Things: Revised and Expanded Edition,by Don Norman,5-Nov-13,$12.92 ,587 customer reviews,English
Persepolis: The Story of a Childhood (Pantheon Graphic Library),by Marjane Satrapi,1-Jun-04,$9.73 ,"1,076 customer reviews",English
Joyful: The Surprising Power of Ordinary Things to Create Extraordinary Happiness,by Ingrid Fetell Lee,4-Sep-18,$18.30 ,14 customer reviews,English
Fashion Climbing: A Memoir with Photographs,by Bill Cunningham and Hilton Als,4-Sep-18,$17.50 ,24 customer reviews,English
"Cute Witches: An Adult Coloring Book with Magical Fantasy Girls, Adorable Gothic Scenes, and Spooky Halloween Fun",by Jade Summer,4-Oct-18,$4.66 ,31 customer reviews,English
"52 Lists for Happiness: Weekly Journaling Inspiration for Positivity, Balance, and Joy",by Moorea Seal,20-Sep-16,$11.69 ,258 customer reviews,English
Carolyne Roehm: Design & Style: A Constant Thread,by Carolyne Roehm,25-Sep-18,$46.39 ,8 customer reviews,English
"Better Homes and Gardens New Cook Book, 17th Edition (Better Homes and Gardens Cooking)",by Better Homes and Gardens,18-Sep-18,$19.49 ,8 customer reviews,English
World of Flowers: A Coloring Book and Floral Adventure,by Johanna Basford,23-Oct-18,$11.56 ,,English
"Alfred's Basic Piano Library Lesson Book, Bk 1A: Book & CD",by Willard A. Palmer and Morton Manus,1-Mar-02,$8.99 ,277 customer reviews,English
Anatomy Coloring Book,by Stephanie McCann and Eric Wise,4-Jul-17,$16.99 ,127 customer reviews,English
Linda McCartney: Life in Photographs,by Alison Castle and Linda McCartney,15-Apr-15,$31.77 ,13 customer reviews,English
Primer Level - Theory Book: Piano Adventures,by Nancy Faber and Randall Faber,1-Jan-96,,132 customer reviews,
2015 International Building Code,by International Code Council,5-Jun-14,,212 customer reviews,English
Standard Wirebound Manuscript Paper (Green Cover),by Hal Leonard Corp.,1-Feb-86,,412 customer reviews,
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,by Eben Alexander,23-Oct-12,$12.56 ,"11,035 customer reviews",English
Geddy Lee's Big Beautiful Book of Bass,by Geddy Lee,4-Dec-18,$40.41 ,,English
The Legend of Zelda Encyclopedia Deluxe Edition,by Nintendo,19-Jun-18,$45.11 ,55 customer reviews,English
A Swear Word Coloring Book for Adults: Sweary AF: F*ckity F*ck F*ck F*ck,by Honey Badger Coloring,18-Sep-17,$6.99 ,154 customer reviews,English
Adult Coloring Books Good vibes: Dont give up : Motivate your life with Brilliant designs and great (Volume 16),by Cherina Kohey,7-Sep-16,$6.16 ,217 customer reviews,English
Laughing@Advertising,by Bob Hoffman,3-Oct-18,$6.99 ,,English
The Legend of Zelda: Art & Artifacts,by Nintendo,21-Feb-17,$27.59 ,373 customer reviews,English
Linda McCartney: Life in Photographs,by Alison Castle and Linda McCartney,15-Apr-15,$31.77 ,13 customer reviews,English
How to Create Stunning Digital Photography,by Tony Northrup and Chelsea Northrup,1-Dec-12,$19.98 ,"2,329 customer reviews",English
How To Play Keyboard: A Complete Guide for Absolute Beginners,by Ben Parker,29-May-13,$10.76 ,271 customer reviews,English
Our Q&A a Day: 3-Year Journal for 2 People,by Potter Gift,24-Sep-13,$12.29 ,941 customer reviews,English
Thomas Kinkade Studios: Disney Dreams Collection 2019 Wall Calendar,by Thomas Kinkade,5-Jun-18,$9.94 ,23 customer reviews,English
Essential Elements for Strings - Book 1 with EEi: Cello,by Robert Gillespie and Pamela Tellejohn Hayes,1-Jul-02,$8.49 ,131 customer reviews,English
The Master Guide to Drawing Anime: How to Draw Original Characters from Simple Templates,by Christopher Hart,7-Jul-15,$11.99 ,342 customer reviews,English
Save The Cat! The Last Book on Screenwriting You'll Ever Need,by Blake Snyder,25-May-05,$16.71 ,"1,182 customer reviews",English
Essential Elements for Band - Book 1 with EEi: Percussion/Keyboard Percussion (Percussion Book 1),by Hal Leonard Corp.,1-Jul-99,$16.19 ,80 customer reviews,English
Essential Elements 2000 for Strings - Book 2: Violin,by Robert Gillespie and Pamela Tellejohn Hayes,1-Jul-03,$9.99 ,142 customer reviews,English
Easy Origami (Dover Origami Papercraft)over 30 simple projects,by John Montroll,5-Oct-92,$4.36 ,652 customer reviews,English
W21TP - Standard of Excellence Book 1 Trumpet - Book Only,by Chuck Elledge and Bruce Pearson,10-Jun-08,,79 customer reviews,English
The Belly Book: A Nine-Month Journal for You and Your Growing Belly (Potter Style),by Amy Krouse Rosenthal,7-Mar-06,$13.49 ,"1,424 customer reviews",English
Cat Page-A-Day Gallery Calendar 2019,by Workman Publishing,7-Aug-18,,4 customer reviews,
Level 2A - Lesson Book: Piano Adventures,by Nancy Faber and Randall Faber,1-Jan-97,$7.99 ,111 customer reviews,English
Final Fantasy Ultimania Archive Volume 2,by Square Enix,18-Dec-18,$25.46 ,,English
The Crucible: (Penguin Orange Collection),by Arthur Miller,18-Oct-16,$10.20 ,607 customer reviews,English
"Country Farm Coloring Book: An Adult Coloring Book with Charming Country Life, Playful Animals, Beautiful Flowers, and Nature Scenes for Relaxation",by Jade Summer,2-Aug-18,$6.56 ,110 customer reviews,English
Make Life Your Bitch: Motivational adult coloring book. Turn your stress into success! (Midnight Edition),by John T,24-Nov-16,$4.62 ,402 customer reviews,English
USA TODAY Crossword: 200 Puzzles from The Nation's No. 1 Newspaper (USA Today Puzzles),by USA TODAY,1-May-07,$9.11 ,284 customer reviews,English
The Gardens of Bunny Mellon,by Linda Jane Holden and Roger Foley,16-Oct-18,$37.42 ,,English
Harry Potter: Collectible Quidditch Set - Accessory,by Running Press,22-Mar-16,$23.11 ,690 customer reviews,English
Hand Lettering for Relaxation: An Inspirational Workbook for Creating Beautiful Lettered Art,by Amy Latta,11-Jul-17,$14.95 ,189 customer reviews,English
The Illustrated Herbiary: Guidance and Rituals from 36 Bewitching Botanicals,by Maia Toll and Kate O'Hara,7-Aug-18,$15.90 ,103 customer reviews,English
"You Can Draw in 30 Days: The Fun, Easy Way to Learn to Draw in One Month or Less",by Mark Kistler,4-Jan-11,$12.91 ,627 customer reviews,English
Adult Piano Adventures All-in-One Piano Course Book 1: Book with Media Online,by Nancy Faber and Randall Faber,1-Jan-02,,274 customer reviews,English
"Let's Go (So We Can Get Back): A Memoir of Recording and Discording with Wilco, Etc.",by Jeff Tweedy,13-Nov-18,$25.20 ,,English
Modern Calligraphy: A Beginner's Guide to Pointed Pen and Brush Pen Lettering,by Leslie Tieu,1-Apr-17,$25.00 ,100 customer reviews,English
Barnyard Dance! (Boynton on Board),by Sandra Boynton,1-Oct-93,$6.95 ,621 customer reviews,English
"What We Keep: 150 People Share the One Object that Brings Them Joy, Magic, and Meaning",by Bill Shapiro and Naomi Wax,25-Sep-18,$16.51 ,6 customer reviews,English
Diary of a Roblox Noob: Fortnite,by Robloxia Kid,4-Jul-18,$6.95 ,40 customer reviews,English
Shadow of the Tomb Raider: Official Collector's Companion Tome,by Michael Owen and Sebastian Haley,12-Sep-18,$25.46 ,19 customer reviews,English
"Letter Tracing Book for Preschoolers: Letter Tracing Book, Practice For Kids, Ages 3-5, Alphabet Writing Practice","by Mallory, S",15-Jan-17,$4.99 ,72 customer reviews,English
Everyday Watercolor: Learn to Paint Watercolor in 30 Days,by Jenna Rainey,10-Oct-17,$15.63 ,224 customer reviews,English
The Greatest Showman: Music from the Motion Picture Soundtrack,by Benj Pasek and Justin Paul,1-Jan-18,$13.38 ,80 customer reviews,English
Pimp: The Story of My Life,by Iceberg Slim,10-May-11,$10.87 ,597 customer reviews,English
Bad Girls Throughout History: 100 Remarkable Women Who Changed the World,by Ann Shen,6-Sep-16,$11.29 ,287 customer reviews,English
Born a Crime: Stories from a South African Childhood,by Trevor Noah,15-Nov-16,$16.80 ,"5,688 customer reviews",English
Apollo: VII ®π XVII,by Floris Heyne and Joel Meter,28-Sep-18,$42.47 ,,English
A Middle-earth Traveler: Sketches from Bag End to Mordor,by John Howe,9-Oct-18,$18.30 ,2 customer reviews,English
Useless Magic: Lyrics and Poetry,by Florence Welch,10-Jul-18,$23.79 ,50 customer reviews,English
The Legend of Zelda: Hyrule Historia,by Patrick Thorpe and Michael Gombos,29-Jan-13,$21.17 ,"2,737 customer reviews",English
Harry Potter: A History of Magic,by British Library,1-Oct-17,$39.05 ,45 customer reviews,English
My First Piano Adventure: Lesson Book A with CD,by Nancy Faber and Randall Faber,1-Jan-07,$9.95 ,140 customer reviews,English
"The Drawing Book for Kids: 365 Daily Things to Draw, Step by Step (Woo! Jr. Kids Activities Books)",by Woo! Jr. Kids Activities,16-Aug-17,$8.99 ,88 customer reviews,English
The Bob's Burgers Burger Book: Real Recipes for Joke Burgers,by Loren Bouchard and Bob's Burgers,22-Mar-16,$13.56 ,976 customer reviews,English
"Muslims of the World: Portraits and Stories of Hope, Survival, Loss, and Love",by Sajjad Shah and Iman Mahoui,9-Oct-18,$13.38 ,8 customer reviews,English
ASVAB Study Guide 2018-2019: Test Prep & Practice Test Questions for the Armed Services Vocational Aptitude Battery Exam,by Test Prep Books Military Team,26-Dec-17,,81 customer reviews,English
Tomb of Annihilation (Dungeons & Dragons),by Wizards RPG Team,19-Sep-17,$27.50 ,131 customer reviews,English
Eat What You Watch: A Cookbook for Movie Lovers,by Andrew Rea,3-Oct-17,$16.51 ,182 customer reviews,English
The One-Minute Gratitude Journal,by Brenda Nathan,18-Jan-16,$6.29 ,115 customer reviews,English
"Drawing on the Right Side of the Brain: The Definitive, 4th Edition",by Betty Edwards,26-Apr-12,$13.59 ,985 customer reviews,English
Adult Coloring Book: Butterflies and Flowers : Stress Relieving Patterns (Volume 7),by Cherina Kohey,13-Aug-15,$5.99 ,"1,374 customer reviews",English
Bibliophile: An Illustrated Miscellany,by Jane Mount,11-Sep-18,$16.48 ,11 customer reviews,English
All You Need to Know About the Music Business: Ninth Edition,by Donald S. Passman,10-Nov-15,$18.99 ,420 customer reviews,English
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",by Ed Catmull and Amy Wallace,8-Apr-14,$15.39 ,"1,113 customer reviews",English
Chesapeake Requiem: A Year with the Watermen of Vanishing Tangier Island,by Earl Swift,7-Aug-18,$18.89 ,25 customer reviews,English
"The Complete Book of Scales, Chords, Arpeggios & Cadences: Includes All the Major, Minor (Natural, Harmonic, Melodic) & Chromatic Scales -- Plus Additional Instructions on Music Fundamentals",by Willard A. Palmer and Morton Manus,1-Aug-94,$9.50 ,440 customer reviews,English
Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly Relaxing & Creative Art Activities on High-Quality Extra-Thick Perforated Paper that Resists Bleed Through,by Thaneeya McArdle,1-Sep-15,$7.79 ,"1,215 customer reviews",English
Flower Color Guide,by Darroch Putnam and Michael Putnam,1-Oct-18,$31.50 ,16 customer reviews,English
The Art & Science of Respect: A Memoir by James Prince,by James Prince;Jasmine D. Waters and Pilar Sanders;Julia Beverly,6-Jul-18,$22.67 ,204 customer reviews,English
The Real Book: Sixth Edition,by Hal Leonard Corporation,1-Sep-04,$32.72 ,409 customer reviews,English
Teaching Little Fingers to Play: A Book for the Earliest Beginner (John Thompsons Modern Course for The Piano),by John Thompson,1-Jul-05,$5.50 ,822 customer reviews,English
House of Leaves,by Mark Z. Danielewski,7-Mar-00,$18.15 ,"1,346 customer reviews",English
